a bit,"na. 有点儿〔作副词用〕
"
a bit of,"na. 一点儿
"
a chorus of,无
a collection of,"un. 收藏的
"
a couple of,"det. 一对
"
a dozen, 一打；十二个；每打
a few,"na. 几个；〔反语〕很多；〈俚〉一点点
"
a good deal,"na. “a deal”的变体
"
a great deal,"na. 很多
"
a good deal of,"det. 很多；大量
"
a great deal of,"det. 很多；重重
"
a good many,"na. 很多的
"
a great many,"na. 很多的
"
a group of,"det. 一群
"
a handful of,"det. 一把；一小撮；少数
"
a kind of,"na. 一类；几分；稍稍
"
a large amount of,"det. 大量
"
a little,"n. 一点
"
a lot of,"det. 许多
"
lots of,"adj. 许多；很多
"
a mass of,"un. 许多
"
masses of, 大多数；大量的；大部分
a matter of,"na. 大约；…左右；…的问题
"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
a pair of,"det. 一双
"
a piece of,"det. 一块；一只
"
a quantity of,"na. 一些
"
a range of,"det. 一大片；一排
"
a sequence of, 一系列的；一连串；一个…的序列
a series of,"na. 一系列；许多
"
a variety of,"det. 种种；形形色色
"
a waste of,"det. 浪费
"
abandon oneself to,"na. 恣意
"
abide by,"na. 坚持；服从
"
above all,"na. 最主要的；最重要的是
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
accuse ... of,"un. 控告
"
across the world, 在全世界；世界各地；横跨世界
act a part,"na. 扮演…角色；假装
"
act the part,扮演某一特定的角色；(在戏中)扮演一个角色；担当；充当；尽职责，履行义务
act as,"na. 做(向导)
"
act on,"na. “Act upon”的变体
"
act upon,"v. 对…起作用
"
adapt to,"na. 使(自己行动)配合(同伴)
"
add in,"na. 算入
"
add to,"na. 增加
"
add up,"na. 合计；符合预期的数目
"
adjust to,"v. 适应
"
admit doing sth., 承认做某事；承认做过某事；承认做了某事
after a while,"na. 过了一会儿
"
after all,"na. 毕竟；终究；最后
"
after you, 你先请；您先；您先请
again and again,"na. 再三再四
"
against sb.'s will,无
agree on,"na. 对…意见一致
"
agree upon,"un. 赞成；达成协议的；商妥
"
agree to,"na. 承认(提议；条件)
"
agree with,"na. 适合；赞同；与…一致
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
aim at,"v. 目的在于
"
all alone,"na. 仅仅一个人；独力
"
all but,"na. 几乎跟…一样
"
all day,"na. 一天到晚
"
all in all,"na. 全部；完全；第一
"
all kinds of,"na. 种种
"
all of a sudden,"na. “all at once”的变体；突然
"
all one's life,"na. 毕生；终生
"
all over,"adj. 满
n. 全花织物
"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
"
all round,"na. 周围；四面八方
"
all sorts of,"na. 一切种类的；种种
"
all the best, 万事吉利，一路平安，一帆风顺（祝酒或送行时用语）
all the same,"na. 依然；“all/just the same”的变体
"
all the time,"na. 始终；〔美国〕老是
"
all the way,"na. 路上一直；老远；〈美〉(从…到…)逐一
"
all year round, 全年；一年到头；终年
all the year round,"na. 一年到头
"
all through,"na. 从来就
"
all together,"adv. 一起
"
allow for,"v. 考虑到
"
allow in, 便知道
along with,"na. 与…一道；以外
"
and so on,"na. “And so forth”的变体
"
answer back,"na. 回嘴；顶嘴
"
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
apologize to sb. for sth., 因某事向某人道歉
apologize to sb. for doing sth.,无
appeal against, 提出上诉；提起上诉；我要申诉
appeal to,"v. 求助于；引起N
"
