coronavirus,n. 冠状病毒；日冕形病毒
novel coronavirus,无
2019-nCoV,无
reservoir for virus,无
pneumonia,n. 肺炎
novel coronavirus pneumonia,无
NCP,[计] 网络控制程序
contagious,adj. 感染性的；会蔓延的
infectious,adj. 传染的；传染性的；易传染的
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
human-to-human transmission,"《英汉医学词典》human-to-human transmission
人与人之间的传染"
droplet transmission,飞沫传播
imported case,无
confirmed case,确认病例
suspected case,"un. 可疑病例
"
secondary infection case,无
incubation period, 孵化期，（接种后的微生物）保温培养期，发酵周期; 潜伏期; 潜育期
asymptomatic infection,无症状感染
symptomless spreader,无
close contact,"un. 紧密接触
"
patient in critical condition,无
fatality rate,"na. 致死率
"
death toll,"n. （事故、战争、灾难等的）死亡人数
"
symptom,n. [临床] 症状；征兆
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
dry cough,"un. 干咳
"
shortness of breath,"na. 喘气
"
breathing difficulty,无
respiratory infection,"un. 呼吸道传染
"
"fever, cough and difficulty in breathing",无
acute respiratory infection symptom,无
seafood market,无
ground zero,"n. （核弹的）爆心投影点
"
illegal wild animals transaction,无
contain the spread,无
contain the outbreak,无
combat the virus,无
first-level public health emergency response,无
epidemic prevention and control,无
Public Health Emergency of International Concern,无
PHEIC,无
makeshift hospital, 临时医院
mobile cabin hospital,无
the lockdown of a city,无
a city is on lockdown,无
seal off the city,无
evacuate diplomats,无
be under medical observation,无
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
medical supplies, 医疗用品；医药用品；医用耗材
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
cure,"n. 治疗；治愈；[临床] 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理
"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
face mask,"na. 面罩；面模
"
protective clothing,"na. 防毒服
"
protective suits,无
goggles,"n. [安全] 护目镜；防护眼镜；瞪视（goggle的复数）
v. 瞪大眼睛看；转动眼珠（goggle的三单形式）"
disposable gloves, 一次性手套；用后可弃手套；抛弃式手套
National Health Commission,无
NHC, [医][=national health council]全国卫生理事会，全国卫生协会
World Health Organization,"un. 世界卫生组织
"
WHO,pron. 谁；什么人
Chinese Center for Disease Control and Prevention,"《英汉医学词典》Chinese Center for Disease Control and Prevention
中国疾病预防控制中心"
National Healthcare Security Administration,无
medical institution,"un. 医疗机构
"
