a bit,"na. 有点儿〔作副词用〕
"
a body of,"adj. 一批
det. 一团
"
a case in point,"na. 范例
"
a chance of lifetime,无
a once-in-a-life-time opportunity,无
a copy of,"det. 一份
"
a couple of,"det. 一对
"
a fraction of,"det. 一小部分
"
a handful of,"det. 一把；一小撮；少数
"
a host of,"det. 很多
"
a large number of,"adj. 极多；许多
"
a large quantity of,"adj. 大量
"
a matter of,"na. 大约；…左右；…的问题
"
a multitude of,"na. 许多
"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
a passing fad,无
a range of,"det. 一大片；一排
"
a sea of,"det. 一片；大量
"
a sequence of, 一系列的；一连串；一个…的序列
a series of,"na. 一系列；许多
"
a string of,"det. 一串；一系列
"
a sum of,无
a swarm of,"det. 一大群；一大堆
"
a ton of, 许多；大量的
a variety of,"det. 种种；形形色色
"
a wide range of,"un. 许多
"
a majority of, 大部分；大多数；大多数的
the majority of,"adj. 大多数
"
abandon oneself to,"na. 恣意
"
abide by,"na. 坚持；服从
"
abound in,"v. 富于
"
abound with,"v. 充满
"
above all,"na. 最主要的；最重要的是
"
absence of mind,"na. 心不在焉
"
access to, 接近；进入；通向…的入口
accomplish one's purpose,无
accord with,"na. 和…一致
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
accountable for, 为某事负责；责任；终究要担负责任
accuse sb. of,"un. 控告
"
accustom ... to,"un. 习惯于
"
acquaint ... with,"na. 把(事实)告知(某人)
"
across the globe,无
around the globe, 全球；世界各地；环球旅行
act on,"na. “Act upon”的变体
"
adapt to,"na. 使(自己行动)配合(同伴)
"
adapt oneself to,"na. 适应(环境)
"
adapt ... for,"un. 借鉴；适用于
"
add to,"na. 增加
"
add up to,"na. 总计共达；〔口语〕总之就是
"
addict oneself to,"na. 一心在
"
adhere to,"v. 坚持；依附
"
adjust to,"v. 适应
"
against all odds, 再看我一眼；危情；冲破禁忌
against all the odds, 意思是冲破重重阻力；尽管有极大的困难；尽管困难重重
agitate for,"na. 倡导(改革)
"
agree upon,"un. 赞成；达成协议的；商妥
"
agree on,"na. 对…意见一致
"
agree with,"na. 适合；赞同；与…一致
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
ahead of schedule,"na. 比预定时间早
"
aim at,"v. 目的在于
"
all at once,"na. 忽然；突然
"
all but,"na. 几乎跟…一样
"
all in all,"na. 全部；完全；第一
"
all manner of,"na. 各色各样的(人,东西等等)
"
all night long,"na. 整夜；一夜
"
all over again,"adv. 重新
"
all over,"adj. 满
n. 全花织物
"
all round,"na. 周围；四面八方
"
all sorts of,"na. 一切种类的；种种
"
all the same,"na. 依然；“all/just the same”的变体
"
all the time,"na. 始终；〔美国〕老是
"
allow for,"v. 考虑到
"
allow of,"v. 容许
"
ally with,"un. 使…与…联盟；使…与…联姻
"
along with,"na. 与…一道；以外
"
alternate between, 时而…时而；在两种状态中交替变化
amount to,"v. 合计
"
amuse sb. by doing sth.,无
an average of, 平均是；平均有；的平均数
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
appeal to,"v. 求助于；引起N
"
apply for,"v. 寻求；申请
"
apply oneself to,"na. 专心(做事)
"
apply to,"v. 应用于
"
approach to,"v. 接近；近似于
"
approve of,"na. 赞成
"
approximate to,"adj. 接近；约计
"
argue for,"na. 为…作争辩
"
argue against,"na. 反对…
"
argue with,"un. 争论
"
arise from,"v. 从…而得的
"
around the corner,"na. (= 〔英国〕 round the corner)在拐角那里
"
around the clock,"na. 夜以继日地
"
round the clock,"na. 昼夜不停；整天整夜；昼夜不停地
"
arrange for,"na. 约(会面时间)
"
as a matter of fact,"na. 事实上；事实是
"
as a result,"adv. 结果
"
as a rule,"na. 照例
"
as far as,"na. 远到；就；尽；至于
"
so far as,"na. 就…而论；尽…说；只就…说
"
as follows,"na. 如下；以下
"
as for,"na. 至于
"
as good as,"na. 见 good 条
"
as if,"na. 彷佛；活像
"
as though,"na. 好像；见 well 条
"
as long as,"conj. 只要
"
so long as,"na. 只要；“as/so long as”的变体
"
as regards,"na. 至于；提到
"
as to,"na. 〈正式〉至于；说到
"
as usual,"adv. 照常；照例
"
as well as,"na. 和…一样；…不用说
"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
ascribe ... to,"v. 把…归于
"
aside from,"na. 暂置不论；加之；除…外
"
ask around,"v. 到处问问
"
ask ... over, 请某人来做客；简单方法原来只要邀请；找个朋友
ask ... round,"ask round
邀请(某人)来家(常指短时间的)：
We asked her round for dinner on the weekend.
我们在周末请她到家里来吃饭。
(多方)打听，询问:
If you're looking for a good nurse,you'd better ask round the neighbourhood.
你要找个好保姆，最好向邻居多打听一下。"
assert oneself,"na. 坚持自己的权利；表现自己
"
assign to,"un. 指定(时间、地点)；提出(理由等)；分配；分给…用
"
associate ... with,"v. 与…联系
"
assure sb. of sth.,"un. 查明
"
at best,"na. 充其量也不过
"
at the best,"na. 充其量也不过
"
at most,"na. 至多
"
at the most,"na. 至多
"
at worst,"adv. 无论怎样坏
"
at the worst,"un. 无论怎样坏；在最坏的情况下
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at a premium,"na. (股票)以超过票面以上的价格；〔比喻〕非常需要
"
at a standstill,"adv. 陷于停顿
"
at all costs,"na. 无论如何
"
at all events,"na. 无论怎样；总之
"
at any rate,"na. 无论如何；至少；总而言之
"
at birth, 在出生时；刚出生；生下来时
at ease,"na. 自由自在；=stand at ease.
"
at every turn,"na. 在每一个关键时刻；在每一个角落；到处；老是
"
at fault,"adv. 困惑；不知所措
"
at first glance,"adv. 初看起来
"
at first sight,"na. 乍看；一见就；乍看起来
"
at hand,"na. 在手边；即将到来
"
at hazard,"na. 在危急中；胡乱地
"
at intervals,"na. 时时；处处；偶尔
"
at issue,"na. 不相容；【法律】在争论中；待裁决的
"
at large,"na. 随便；拉杂地
"
at least,"na. 至少
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
at length,"na. 最后；充分地
"
at liberty,"na. 随意；(人,东西)闲着
"
at no time,"na. 从来没有
"
at odds,"un. 〔体〕对弱方的让步；胜负的可能性；不相称；不和
"
at odds with,"adj. 相抗争于
"
at once,"na. 立刻；同时
"
at one time,"na. 同时；曾经
"
at one's convenience,"na. 顺便；得便时
"
at one's disposal,"na. 随某人自由
"
at one's expense,"prep.自费,牺牲别人的利益"
at one's wits' end,"na. 智穷才尽；不知所措
"
at present,"na. 目前
"
at random,"na. 碰运气地；无目标地
"
at risk,"un. 担风险
"
at sea,"na. 在海上；不知所措
"
at stake,"na. 被赌着；在危险中；利害[生死]攸关
"
at the cost of,"na. 以…为牺牲
"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
"
at the height of, 在……顶点；在的高峰；在…最鼎盛时期
at the mercy of,"na. 完全受…支配
"
at the moment,"na. “for the moment”的变体
"
at the outset,"na. 在开头时
"
at the prospect of,"un. 期待
"
at the rate of,"na. 按…的比例；以…的速度
"
at the risk of,"na. 冒着…的危险
"
at the start,"na. 开始
"
at the thought of,"na. 一想到
"
at the time of, 在……的时候；在…的时间；之际
at the time that,prep.在...时候
at the very least,"na. 一点
"
at times,"na. 时时
"
at will,"na. 任意；随意
"
at work,"na. 做着；在工作；起着作用；运转中
"
at the rear of,prep.在...的后面
in the rear of,"na. 在…的后方
"
attach importance to,"na. 重视；把重点放在
"
attach oneself to,"na. 属于；依恋
"
attend to,"na. 照料(工作)
"
attitude toward, 对…的态度；意见；对于···的态度
attitude towards,"un. 对…态度
"
attract one's attention,无
attribute ... to,"na. 认为(成功)是(努力)的结果
"
avail oneself of,"na. 利用时机
"
