a bunch of,"det. 一束
"
a couple of,"det. 一对
"
a crowd of,"na. 许许多多的(书)
"
a developed country,无
a developing country,无
a few pieces of advice,无
a good deal of,"det. 很多；大量
"
a great deal of,"det. 很多；重重
"
a good many,"na. 很多的
"
a great many,"na. 很多的
"
a group of,"det. 一群
"
a knife and fork,"na. 一副刀叉；(吃西餐用的)一副刀叉
"
a large quantity of,"adj. 大量
"
a large amount of,"det. 大量
"
a great amount of, 大量的；大部分的；许多的
a small amount of,"adj.少量的,少量"
a little bit,"n. 一点
"
a loaf of bread, 一条面包；一个面包；一块面包
a narrow escape,"n. 九死一生
"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
a great number of,"det. 极多；许多
"
a large number of,"adj. 极多；许多
"
a piece of advice, 一条建议；一条忠告；一项忠告
a place of interest,无
a point of view,"na. 观点
"
a series of,"na. 一系列；许多
"
a total of, 总共；总计；总数为
a type of,"det. 一种
"
a variety of,"det. 种种；形形色色
"
a year and a half,无
above all,"na. 最主要的；最重要的是
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
achieve one's aim,无
achieve one's goal,无
achieve success,"un. 取得成功
"
act a part,"na. 扮演…角色；假装
"
act as if, 行为象……一样；做得像；装作好像
act the part of sb., 扮演…角色；扮演…的角色；具有…功能
add ... to ...,"na. 增加
"
add to,"na. 增加
"
add up to,"na. 总计共达；〔口语〕总之就是
"
address a letter,无
address the letter,无
address sth. to sb.,"un. (正式用语)向…讲话；论述；向…提出(评论、申诉等)；对…讲话
"
admit to,"v. 承认
"
advise that sb. do sth.,无
advise that sb. should do sth.,无
advise sb. to do, 建议做某事；建议某人去做某事
afford to do, 负担得起做某事；付得起；有能力
after a time, 过了一段时间；一段时间后；过了一会儿
after a while,"na. 过了一会儿
"
after all,"na. 毕竟；终究；最后
"
after that,"adv. 后来
"
agree on,"na. 对…意见一致
"
agree that ...,无
agree to do, 同意做某事；同意干某事；同意去做某事
agree to one's plan,无
agree to one's suggestion,无
agree with,"na. 适合；赞同；与…一致
"
agree with one's idea,无
agree with one's opinion,无
agree with one's analysis,无
ahead of time,"na. 比原定提前地
"
aim at,"v. 目的在于
"
all but ...,"na. 几乎跟…一样
"
all kinds of,"na. 种种
"
all of a sudden,"na. “all at once”的变体；突然
"
all over,"adj. 满
n. 全花织物
"
all sorts of,"na. 一切种类的；种种
"
all such,"na. 人人
"
all the same,"na. 依然；“all/just the same”的变体
"
all the way,"na. 路上一直；老远；〈美〉(从…到…)逐一
"
all through the night, 整夜；渡过黑暗；一夜到天明
all through the year,无
all one's life,"na. 毕生；终生
"
all year round, 全年；一年到头；终年
allow sb. to do, 允许做某事；允许去做；允许作某事
announce sth. to sb., 通知某人
announce to sb. sth., 通知某人
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
appear to do,无
apply for,"v. 寻求；申请
"
apply one's minds to,无
appreciate sb. doing sth.,无
as a matter of fact,"na. 事实上；事实是
"
as a result of,"na. (作)为…的结果
"
as though,"na. 好像；见 well 条
"
as if,"na. 彷佛；活像
"
as well,"na. 也；同样
"
as well as,"na. 和…一样；…不用说
"
ask for a leave, 请假；请假条
ask sb. for advice, 寻求建议；求教；征求建议
ask some questions of sb.,无
at a distance,"na. 隔开一段距离；“at/from a distance”的变体
"
at a great depth,无
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at a low price,"un. 低价
"
at a high price, 以高价；高价卖出某物；注意介词
at a low speed,无
at a high speed, 以很大的速度；以一个很高的速度；以高速度
at a mouthful,prep.一口
at a safe speed,无
at a speed of,"prep. 以…的速度
"
at a time,"na. 一次(多少)；同时；曾经；连续
"
at first blush,"na. “at first sight”的变体
"
at full speed,"na. “full speed”的变体
"
at least,"na. 至少
"
at least ... if not more,无
at most,"na. 至多
"
at one time,"na. 同时；曾经
"
at present,"na. 目前
"
