stop short of,"na. 险些儿
"
jockey for,(赛马中)挤其他骑师以占据(有利位置)；用排挤手段谋取
per se,"adv. 本身；本质上
"
silver lining,"na. (失望或不幸中的)一线希望[一点慰藉]
"
in the grip of,"un. 控制自己的情绪；被捏在…里；在…控制之下；患了
"
bear out,"na. 证明
"
status quo,"n. 现状；原来的状况
"
hinge on,"v. 随…而定；依赖
"
be pitted against,无
be punctuated by,无
put another way, 换句话说
to some extent,"na. 在某种程度上
"
for one thing,"na. 第一〔表示列举〕；原因之一是
"
run for,"na. 去叫(…)；做…的候选人
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
depart from,"na. 背离；不合(习惯等)；违反
"
far from,"na. 远离；决不
"
set apart,"na. 分开；分离；留出(充当别用)
"
come into being,"na. 发生
"
in spite of,"na. spite of 不管；〔古语〕无视
"
accommodate to,"un. 适应
"
prior to,"adj. 前于
"
a laundry list of,无
have a bearing on,"na. 关系到
"
correspond to,"v. 符合
"
run against,"v. 背叛
"
take sides,"na. 左袒；拥护(某方面)
"
stem from,"v. 出于；基于
"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
"
gain favor,无
in many respects,"un. 就各方面来说；有很多方面
"
be based on,"v. 以…为基础
"
gloss over,"v. 掩饰
"
sign into, 签署
shed light on,"na. 阐明；解释；将…弄明白；照亮
"
serve as,"v. 用作；充当
"
draw support for,无
ensue from,"v. 接着…发生
"
rebel against, 叛逆；反抗；叛乱
be attributable to, 归因为；归因于；可归咎于
a salvo of,无
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
explain away,"na. 巧辩过去
"
ascribe to,"v. 把…归于
"
back and forth,"na. 来回地
"
subject to,"v. 处于…中；使服从
"
die out,"na. 死绝
"
work out,"v. 作出；拟定；制定；计划一下
"
get along with,"na. (工作)进行
"
