younger,"n. 年纪较小者；幼辈
adj. 较年轻的
"
older,"adj. 年长的；较旧的
"
taller,adj. 更高的；高一点的
shorter,"adj. 较短的；更短的；更矮的（short的比较级）
"
longer,长的（long的比较级）
thinner,"adj. 较薄的；较瘦的；较细的（thin的比较级）
n. （油漆的）稀释剂；冲淡剂；使变稀薄者，加稀料的制漆工"
heavier,adj. 沉重的；巨大的
bigger,"adj. 更大的（big的比较级）
"
smaller,adj. 较小，更小的
stronger,adj. 更强壮的
dinosaur,n. 恐龙；过时、落伍的人或事物
hall,"n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
"
metre,"n. 米；公尺；韵律
"
meter,"n. 米；仪表；[计量] 公尺；韵律
vt. 用仪表测量
vi. 用表计量
"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过
"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆
"
kilogram,n. 公斤；千克
countryside,n. 农村，乡下；乡下的全体居民
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的
"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
smarter,adj. 聪明的；精明的（smart的比较级）
become,"vt. 适合；相称
vi. 成为；变得；变成"
cleaned,"v. 打扫（clean的过去式）；把…弄干净
adj. 净化的"
stayed,v. 停留，制止（stay的过去分词形式）
washed,"v. 洗，洗涤（wash的过去分词）
adj. 洗过的"
watched,"vt. 观察；注视；看守；警戒
n. 手表；监视；守护；值班人
vi. 观看，注视；守侯，看守"
had,"v. 有；吃；得到（动词have的过去式和过去分词）
aux. 已经（用于过去完成时和过去完成进行时）"
had a cold,"vbl.伤风,感冒"
slept,v. 睡觉（sleep的过去式和过去分词）
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解
"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
"
yesterday,"n. 昨天；往昔
adv. 昨天"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
drank,v. 喝；喝酒（drink的过去式）
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示
"
magazine,n. 杂志；弹药库；胶卷盒
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好
"
faster,"adj. 更快的
adv. 更快地
"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公
"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮
"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地
"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
went,"v. 去，过去（go的过去式）
"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营
"
went camping,无
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取
"
went fishing,无
rode,"v. 骑（ride的过去式）
"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦
"
ate,v. 吃（eat的过去式）
took,v. 拿；取；接受（take的过去式）
took pictures,"vbl.照像,摄影"
bought,v. 买（buy的过去式和过去分词）
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送
"
fell,"n. [林] 一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒
"
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
Labour Day,"na. (五一国际)劳动节
"
mule,"n. 骡；倔强之人，顽固的人；杂交种动物
"
Turpan, 吐鲁番（新疆维吾尔自治区）（旧译Turfan）
could,"aux. 能够
v. 能（can的过去式）"
till,"prep. 直到
conj. 直到...为止
n. [地理][水文] 冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘
"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居
"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手
"
licked,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许
"
laughed,"笑
为了开玩笑
有趣的事
嘲笑"
dining hall,"na. 大餐厅
"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草
"
gym,n. 健身房；体育；体育馆
ago,"adj. 以前的；过去的
adv. 以前，以往
"
cycling,n. 骑脚踏车消遣；骑脚踏车兜风
go cycling, 去骑自行车；去骑车；去骑单车
ice-skate,v. 溜冰，滑冰
badminton,n. 羽毛球
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角
"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
look up,"v. 查找；查阅；探望；看望
"
Internet,n. 因特网
different,adj. 不同的；个别的，与众不同的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进
"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
felt,"n. 毡；毡制品
v. 感觉（feel的过去式）
vi. 粘结
vt. 使粘结；把…制成毡
"
cheetah,n. [脊椎] 猎豹
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走
"
woke,v. 唤醒；激发；使…复活（wake的过去式）
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
