porter,"n. 门房；服务员；行李搬运工；守门人
"
ATM,abbr. 异步传输模式（Asynchronous Transfer Mode）；自动出纳机（Automatic Teller Machine）；空中交通管理（Air Traffic Management）
learn sth. from sb.,"v. 学习
"
smile at sb.,"na. 看着…微笑；(对威胁等)一笑置之
"
take to sb.,"na. 嗜好；开始；参加；逃入
"
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
criticise sb. for sth.,无
criticise sth. for sth.,无
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游
"
critic,n. 批评家，评论家；爱挑剔的人
art critic, 艺术评论家；艺术批评家；艺评家
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
critically,adv. 精密地；危急地；严重地；批评性地；用钻研眼光地；很大程度上；极为重要地
upside down,"adv. 颠倒；倒转；翻转
"
literature,n. 文学；文献；文艺；著作
take sb. out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take sth. out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
resemble,vt. 类似，像
cloth,"n. 布；织物；桌布
adj. 布制的
"
substance,n. 物质；实质；资产；主旨
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
put sth. up,"adj. 预先商定的
"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
campfire,n. 营火；营火会
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
sleeping bag,"n. 睡袋
"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过
"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列
"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人
"
wind sb.'s way,无
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬
"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳
"
invitation,n. 邀请；引诱；请帖；邀请函
put sb. up,"adj. 预先商定的
"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provide sth. for sth.,"v. 为…作准备
"
provide sth. for sb.,"v. 为…作准备
"
put up with sb.,"na. 忍住
"
put up with sth.,"na. 忍住
"
put sth. down,"na. 平定；贬低(的话)；(飞机的)降落
"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地
"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
doorway,n. 门口；途径
architect,"n. 建筑师
缔造者"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
switch sth. on,"v. 打开；接通；参见
"
on fire,"na. 燃烧着；兴奋着
"
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
deeply,adv. 深刻地；浓浓地；在深处
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
myth,n. 神话；虚构的人，虚构的事
have trouble with sb.,"v. 同某人发生纠纷
"
have trouble with sth.,"v. 同某人发生纠纷
"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
have an effect on sb.,(对…)有影响〔产生效果〕
have an effect on sth.,(对…)有影响〔产生效果〕
have some effect on sb.,无
have some effect on sth.,无
Medusa,n. 水母；水母体
Gorgon,"n. 蛇发女怪（希腊神话中的一个形象）；丑陋女人
"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换
"
annoyance,n. 烦恼；可厌之事；打扰
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝
"
help sb. out,"v. 帮助…摆脱困境；救出；协助
"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达
"
land sth. on sth.,"na. 批评
"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
reputation,n. 名声，名誉；声望
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决
"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导
"
conductor,n. 导体；售票员；领导者；管理人
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
result in sth.,"na. 终于(失败)
"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
impose sth. on sb.,"v. 强迫；欺骗
"
Pilatus Porter, 皮勒特斯·波特；飞机名；人座飞机
surprising,"v. 使惊奇；意外发现（surprise的ing形式）
adj. 令人惊讶的；意外的"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕
"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
Welsh,"n. 威尔士语
adj. 威尔士的；威尔士人的；威尔士语的"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖
"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖
"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
park,"n. 公园；[交] 停车场
vt. 停放；放置；寄存
vi. 停放车辆
"
businessman,n. 商人
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉
"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末
"
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地
"
solution,n. 解决方案；溶液；溶解；解答
accusation,n. 控告，指控；谴责
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
be accustomed to sth.,"na. 惯于(苦干,早起)
"
be accustomed to sb.,"na. 惯于(苦干,早起)
"
used,"v. 用（use的过去式）；（used to）过去常做
adj. 习惯的；二手的，使用过的"
be used to sth.,"na. 惯于
"
be used to sb.,"na. 惯于
"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种
"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实
"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
polo,"n. 马球；水球
"
Wayle, 威尔；威尔河
cut across sth.,"na. 对直穿过；同“cut”
"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵
"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲
"
call out to sb., 向……喊叫；向…大声喊叫；向……大喊
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
in sight,"na. 看得见；“in/within sight”的变体
"
throw sth. back to sth.,无
throw sth. back to sb.,无
on purpose,"na. 故意；意欲
"
point of view,"n. 观点；态度；意见；看法
"
paper clip,"n. 回形针；纸夹；曲别针
"
shorts,"n. 短裤
"
coat hanger,"n. 衣架
"
shoe-box,"n. 鞋盒
a. （建筑物）鞋盒似的"
Yangtze,"n. 长江, 扬子江"
Danube,n. 多瑙河（位于欧洲）
Rhine,n. 莱茵河（位于欧洲西部）
Sahara,n. 撒哈拉沙漠（位于非洲北部）；荒野
Kalahari,n. 喀拉哈里沙漠(南部非洲沙漠高原)
Alps,n. 阿尔卑斯山脉
mountain range,"na. 山脉
"
Avon,n. 雅芳（化妆品品牌）；埃文河（英国西南部一河）
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野
"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡
"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊
"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来
"
Pacific,"adj. 和平的；温和的；平静的
n. 太平洋
adj. 太平洋的"
Mediterranean,"n. 地中海
adj. 地中海的"
Seine,"n. 围网；拖地大网
vt. 用围网捕捞
vi. 用围网捕鱼"
expedition,n. 远征；探险队；迅速
Himalayas,n. 喜马拉雅山脉
Rocky Mountains, 落基山脉；洛矶山脉；落矶山脉
People's Republic of China, 中华人民共和国；中国；简称
refrigerator,n. 冰箱，冷藏库
Mississippi,n. 密西西比河（美国河流，世界上最大的河流之一）；密西西比州（美国州名）
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏
"
United Kingdom,"n. 英国
"
Red Sea,"n. 红海（印度洋西北的长形内海, 在亚洲阿拉伯半岛同非洲东北部之间）"
Suez Canal,"un. 苏伊士运河
"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴
"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
rudder,"n. 船舵；飞机方向舵
"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bounce sth. against sth., 使(球)弹回
bounce sth. off sth.,"v. 弹离
"
displace,vt. 取代；置换；转移；把…免职；排水
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
"
didn't use to,无
did they use to,无
workshop,n. 车间；研讨会；工场；讲习班
helper,"n. 助手，帮手
"
grandson,n. 孙子；外孙
talent,n. 才能；天才；天资
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
long-distance,"adj. [通信][交] 长途的；长距离的
vt. 打长途电话给
adv. 通过长途电话"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数
"
require,vt. 需要；要求；命令
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降
"
dive into sth.,"na. 探察(某人秘密)
"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
director,"n. 主任，主管；导演；人事助理
"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
industry,n. 产业；工业；勤勉
fabric,n. 织物；布；组织；构造；建筑物
workhouse,n. （英）济贫院；（美）[法] 教养所；感化院；贫民习艺所
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上
"
in charge,"na. 主任[主管]
"
temptation,n. 引诱；诱惑物
well-dressed,adj. 穿着考究的；穿着入时的
article,"n. 文章；物品；条款；[语] 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
wrap sth. up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
find sth. out,"na. 查出；发现；看清…的面目；识破
"
critical,adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
be critical of sth., 批评的；爱挑毛病的；对……持批评态度
be critical of sb., 批评的；爱挑毛病的；对……持批评态度
helpful,adj. 有帮助的；有益的
be helpful to sth.,"v. 有助于；对…有
"
be helpful to sb.,"v. 有助于；对…有
"
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
be contented with sth.,无
be contented with sb.,无
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
be ambitious for sth.,"渴望得到……
对……野心勃勃"
be ambitious for sb.,"渴望得到……
对……野心勃勃"
injury,n. 伤害，损害；受伤处
whisky,"n. 威士忌酒
adj. 威士忌酒的"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票
"
