truant,"n. 旷课者；懒惰的人
adj. 旷课的；偷懒的
vi. 逃学；偷懒，逃避责任"
play truant,"na. 逃学
"
unimaginative,adj. 缺乏想象力的；无趣的
over and over,"na. 转来转去；〔主美〕反反复复
"
over and over again,"na. 翻来覆去
"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧
"
put sb. to shame,"na. 给丢脸!
"
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
Antarctic,"adj.南极的, 南极地带的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
imaginary,adj. 虚构的，假想的；想像的；虚数的
fantasia,"n. 幻想曲；集成曲；幻想作品
"
shyness,n. 羞怯
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
river bed,"n. 河床
"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
take precautions to prevent sth. against sth.,无
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动
"
shady,"adj. 成荫的；阴暗的；名声不好的
"
sheriff,"n. 州长；郡治安官；执行吏
"
be hard on sb.,"na. 接近
"
sneer,"vi. 嘲笑，冷笑
vt. 嘲笑，冷笑
n. 嘲笑，冷笑"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
inconvenient,adj. 不便的；打扰的
get out of sth.,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
get into sth., 到达什么地方；这个错误可能使他陷入困境
progress,"n. 进步，发展；前进
vi. 前进，进步；进行
"
get on with sth.,"na. 同“get along ”
"
get on with sb.,"na. 同“get along ”
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get over sth.,"na. 同“get across”
"
get sth. over,"na. 同“get across”
"
get through sth.,"na. 花光；了结；(使)通过(议案)；及格
"
compartment,"n. [建] 隔间；区划；卧车上的小客房
vt. 分隔；划分"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
