abandon oneself to,"na. 恣意
"
above all,"na. 最主要的；最重要的是
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
accuse ... of ...,"un. 控告
"
act as,"na. 做(向导)
"
adapt to,"na. 使(自己行动)配合(同伴)
"
add in,"na. 算入
"
adjust to,"v. 适应
"
admit doing sth., 承认做某事；承认做过某事；承认做了某事
after all,"na. 毕竟；终究；最后
"
agree on,"na. 对…意见一致
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
aim at,"v. 目的在于
"
all alone,"na. 仅仅一个人；独力
"
all but,"na. 几乎跟…一样
"
all of a sudden,"na. “all at once”的变体；突然
"
all one's life,"na. 毕生；终生
"
all over,"adj. 满
n. 全花织物
"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
"
all round,"na. 周围；四面八方
"
all around,"na. 四处；全面地；遍处；一一
"
all the best, 万事吉利，一路平安，一帆风顺（祝酒或送行时用语）
all the same,"na. 依然；“all/just the same”的变体
"
all the way,"na. 路上一直；老远；〈美〉(从…到…)逐一
"
all through,"na. 从来就
"
all together,"adv. 一起
"
allow for,"v. 考虑到
"
along with,"na. 与…一道；以外
"
and so on,"na. “And so forth”的变体
"
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
apologize to sb. for sth., 因某事向某人道歉
apologize to sb. for doing sth.,无
appeal to,"v. 求助于；引起N
"
apply for,"v. 寻求；申请
"
approve of,"na. 赞成
"
arise from,"v. 从…而得的
"
arm in arm,"na. 臂挽着臂
"
around the corner,"na. (= 〔英国〕 round the corner)在拐角那里
"
arrive at,"v. 到达；得出
"
as a consequence,"adv. 因此
"
as a matter of fact,"na. 事实上；事实是
"
as a result,"adv. 结果
"
as far as,"na. 远到；就；尽；至于
"
as follows,"na. 如下；以下
"
as for,"na. 至于
"
as if,"na. 彷佛；活像
"
as though,"na. 好像；见 well 条
"
as long as,"conj. 只要
"
so long as,"na. 只要；“as/so long as”的变体
"
as soon as,"na. 一…就；见 soon 条
"
as usual,"adv. 照常；照例
"
as well,"na. 也；同样
"
as well as,"na. 和…一样；…不用说
"
ask for,"na. 要(价)；来找
"
at a distance,"na. 隔开一段距离；“at/from a distance”的变体
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at a low price,"un. 低价
"
at a time,"na. 一次(多少)；同时；曾经；连续
"
at all,"na. 全然；究竟
"
at all costs,"na. 无论如何
"
at any rate,"na. 无论如何；至少；总而言之
"
at ease,"na. 自由自在；=stand at ease.
"
at first,"na. 首先
"
at first sight,"na. 乍看；一见就；乍看起来
"
at hand,"na. 在手边；即将到来
"
at last,"na. 终于
"
at least,"na. 至少
"
at length,"na. 最后；充分地
"
at most,"na. 至多
"
at the most,"na. 至多
"
at once,"na. 立刻；同时
"
at one's best,"na. 最美时期；最得意处；发挥最高的技术水平
"
at present,"na. 目前
"
at random,"na. 碰运气地；无目标地
"
at risk,"un. 担风险
"
at one's convenience,"na. 顺便；得便时
"
at one's expense,"prep.自费,牺牲别人的利益"
at one's service,"乐意帮助,听.使唤"
at table,"na. 在吃饭
"
at the age of,"na. 在…岁时
"
at the beginning of,"un. 前奏；处于…的开端；起初
"
at the bottom of,"un. (是)基本力量；是由于他们引起的；在…的底部
"
at the end of,"na. 在…末端；在…的结尾
"
at the moment,"na. “for the moment”的变体
"
at war,"na. 在战争中
"
at work,"na. 做着；在工作；起着作用；运转中
"
attach ... to ...,"v. 连接在…上；归于
"
attempt to do sth., 试图；试图做某事；企图做某事
attend to,"na. 照料(工作)
"
attitude to,"un. 对…态度
"
attitude toward, 对…的态度；意见；对于···的态度
attribute ... to ...,"na. 认为(成功)是(努力)的结果
"
avoid doing sth., 避免做某事；避免干某事；防止做某事
awake to,"na. 激起(某人)(悔罪念头)
"
back and forth,"na. 来回地
"
bargain with sb. for sth.,无
base ... on ...,"v. 根据
"
be able to do sth., 能够做某事；能做某事；有能力做某事
be about to do sth., 即将做某事
be absorbed in,"na. 全神贯注在…；热衷于
"
be abundant in,丰富的，富裕的
be accustomed to,"na. 惯于(苦干,早起)
"
be addicted to,"na. 嗜好
"
be admitted into, 被…录取；被选入
be admitted to, 被…录取；获准做某事；获准进入
be angry with,"na. 对…生气；生(某人)的气
"
be anxious about,"na. 担忧(某人健康)；害怕(结果)
"
be ashamed of,"na. 以为…是耻辱
"
be associated with,"v. 与…联系
"
be aware of,"na. 知道
"
be blessed with, 幸运地享有；有幸得到；享有的
be bored with,"v. 厌烦
"
be bound to do sth., 注定；一定会做某事；必然
be busy with sth.,"v. 忙于
"
be capable of,"v. 能够承担
"
be close to,"na. 接近；不离
"
be concerned about,"na. 关心；挂念
"
be content with,"na. 以…为满足
"
be crazy about,"v. 迷上
"
be curious about,"na. 对(某事物)感到好奇
"
be different from,"na. 和…不同
"
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
be faced with,"v. 面临
"
be familiar to,"v. 熟悉
"
be famous as,作为…而闻名遐迩
be fit for,"na. 适于
"
be fond of,"v. 爱好
"
be frightened to death, 怕得要死
be full of,"na. 充满…(的)
"
be good at,"v. 善于
"
be interested in,"v. 对…感兴趣
"
be known as,"na. 通称
"
be likely to, 可能；很可能；很有可能
be lost in,"v. 迷恋
"
be opposed to,"v. 反对；与…相对
"
be particular about,"v. 对…讲究
"
be pleased at,"对…感到高兴,喜欢…"
be pleased about,无
be pleased with,"na. 喜欢
"
be popular with,"na. 受…欢迎
"
be proud of,"na. 以…自豪
"
be ready for,"v. 预备好
"
be related to,"na. 和…有(亲戚)关系
"
be relevant to,"v. 有关
"
be responsible for,"v. 负责；担负
"
be sensitive to,"na. 对…敏感
"
be short for, 是…的简称；是…的缩写
be similar to,"na. 像
"
be strict in, 对某事严格要求；对某事要求严格；严于
be supposed to,"na. …(在职务上)要；〈口〉不许
"
be sure about,"un. 就象…一样地不容怀疑。；把握
"
be sure of,"na. 确信
"
be tired of,"v. 厌烦；厌倦
"
be true of,"un. 遵守诺言；适用；是这种情况
"
be unique to, 为…特有；对……来说是独一无二的；为…所独有
be willing to do sth.,"na. 乐意进行
"
because of,"na. 因
"
become of,"na. (人或事物的)情况
"
before long,"na. 不久；不(需很)久
"
begin with,"na. 从…开始
"
believe in,"v. 相信
"
believe it or not,"na. 信不信由你
"
belong to,"v. 属于；附属
"
benefit from,"v. 从…得到好处
"
beyond control,"na. 无法控制
"
blame sb. for sth., 因……责备；责怪；因…怪罪
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break away from,"v. 脱离；离开；断绝与…的关系
"
bring about,"na. 造成；带来；【航】(使船)回转
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burst into,"na. 闯进；突然…起来
"
but for,"na. 要不是；除…而外
"
by accident,"na. 偶然 (opp. on purpose)
"
by air,"na. 用[坐]飞机；用无线电
"
by all means,"na. 必定；千方百计；不惜一切；好的
"
by chance,"na. 偶然
"
by name,"na. 指名；名叫；只…名字
"
by nature,"na. 生就；从本性上说
"
call attention to, 唤起注意；引起对…的注意；关注
call at,"na. 访问(某家)；(车船)停靠(某地)
"
calm down,"na. 平静下来
"
can't but, 不得不
can't help but,〈美〉不得不; 不能不; 必须; 只好
can't help doing sth., 禁不住做某事；情不自禁做某事；忍不住做某事
can't wait to,无
care about,"v. 在意
"
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
"
cast about for,"na. 寻觅；搜集；物色；想(方法等)
"
cast aside,"na. 抛弃
"
catch a glimpse of,"na. 瞥见；看一眼
"
catch fire,"na. 着火
"
catch hold of,"na. 抓住；乘机抓住(对方的失言)；掌握
"
catch on,"na. 流行；受欢迎；理解；懂得
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,"v. 赶上
"
cater for,"un. 备办食物:；凑合
"
center on,"un. 围绕
"
center upon,vt.以...为主题
change ... for ...,"v. 转车；转向
"
change into,"na. 变成；改穿
"
change one's mind,"na. 改变想法
"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
check in,"v. 〈美〉报到；(旅馆)登记
"
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
chip in,"na. 加入(打架等)；捐助；拿钱赌
"
choke off,"na. 把…闷死；使中止；同“choke”
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear up,"na. 整顿；说明；(天气)转晴
"
click on, 点击；用鼠标点击；单击
close down,"v. 关闭；关门；倒闭；歇业
"
collect oneself,"心平气和,平心静气,镇定一下"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come into being,"na. 发生
"
come out,"na. 出来
"
come to terms with,"un. 谈得拢；和…达成协议；与…友好相处；追恋
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
compare ... to ...,"un. 核对记录；商量了一番；比较；和…相仿
"
compensate for,"v. 补偿；抵偿
"
complain about,"v. 埋怨
"
complain of,"v. 抱怨；叫屈
"
concentrate on,"na. 集中在；专心于
"
concentrate upon,na. 集中在；专心于
congratulate ... on ...,"un. 祝贺
"
congratulate ... upon ...,vt.祝贺
connect with,"na. 和…有关系
"
consider ... as ..., 认为；认为是；把…看作
consist in,"v. 在于
"
contrary to,"na. 跟…相反[相违背]
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
convince ... of ...,"na. 使(人)承认
"
cool down,"na. 使…变凉；〈非正式〉冷静下来
"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
"
correspond to,"v. 符合
"
count on,"na. 指望；预料到；期望
"
count upon,"na. 指望；依赖
"
cross out,"na. 取消
"
crowd in,"un. 围住；围观；接踵而来；挤进
"
cry out,"na. 大叫；喊着要求
"
cut across,"na. 对直穿过；同“cut”
"
